epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.22135,1.80664,2.21801,1.14587,0.62082,0.4902,0.52319,0.23744,1.95503,1.41796,1.46643,0.0004,0.0004,0.0004
2,10.4799,1.75676,1.10643,1.19702,0.04975,0.09104,0.01114,0.00332,3.2574,9.55538,3.02869,0.000811882,0.000811882,0.000811882
3,15.6311,1.84974,1.26261,1.2701,0.00087,0.04062,0.00046,0.00013,nan,nan,nan,0.00121545,0.00121545,0.00121545
4,20.8514,1.86445,1.14392,1.26324,0.00029,0.01681,0.00015,6e-05,nan,nan,nan,0.0016107,0.0016107,0.0016107
5,25.9857,1.79843,1.15127,1.25487,0.30156,0.16807,0.12084,0.0403,nan,nan,nan,0.0019208,0.0019208,0.0019208
6,31.1371,1.80973,1.10352,1.25239,0.15839,0.09384,0.05677,0.01854,nan,nan,nan,0.001901,0.001901,0.001901
7,36.3051,1.77315,1.08296,1.21787,0.40309,0.35574,0.30557,0.12169,2.32397,8.15475,1.7342,0.0018812,0.0018812,0.0018812
8,41.4402,1.74229,1.09476,1.20381,0.47751,0.42368,0.33075,0.13421,1.97083,2.41441,1.48404,0.0018614,0.0018614,0.0018614
9,46.5795,1.74414,1.0305,1.21242,0.57428,0.57003,0.47919,0.21998,1.78822,3.8751,1.37027,0.0018416,0.0018416,0.0018416
10,51.7117,1.67955,0.96214,1.17645,0.69531,0.59244,0.64697,0.29102,1.81455,2.4938,1.37225,0.0018218,0.0018218,0.0018218
11,56.9002,1.64321,0.94389,1.1642,0.05539,0.35294,0.02826,0.00866,2.76229,8.53034,2.42888,0.001802,0.001802,0.001802
12,62.0337,1.69928,0.99152,1.17771,0.39971,0.40896,0.27625,0.1234,1.95693,1.71083,1.4183,0.0017822,0.0017822,0.0017822
13,67.1781,1.64286,0.96272,1.15926,0.70761,0.65078,0.7085,0.33507,1.79261,2.34129,1.29802,0.0017624,0.0017624,0.0017624
14,72.3752,1.599,0.90243,1.14402,0.83453,0.71289,0.79248,0.39205,1.6908,1.05797,1.29455,0.0017426,0.0017426,0.0017426
15,77.539,1.58626,0.87969,1.13607,0.81662,0.7235,0.77791,0.3879,1.7127,1.08099,1.28943,0.0017228,0.0017228,0.0017228
16,82.6798,1.5888,0.88748,1.1379,0.75396,0.65966,0.74188,0.39082,1.65861,1.59354,1.26247,0.001703,0.001703,0.001703
17,87.8141,1.57612,0.87424,1.13013,0.77264,0.69015,0.75504,0.36629,1.7039,1.85499,1.25761,0.0016832,0.0016832,0.0016832
18,92.9389,1.58558,0.85434,1.11664,0.76505,0.64305,0.71006,0.331,1.86277,1.22104,1.36791,0.0016634,0.0016634,0.0016634
19,98.0733,1.54861,0.86941,1.1539,0.74112,0.64955,0.70016,0.34281,1.71979,1.13561,1.28755,0.0016436,0.0016436,0.0016436
20,103.221,1.53935,0.832,1.11366,0.83112,0.7493,0.80269,0.42127,1.59348,0.97512,1.22729,0.0016238,0.0016238,0.0016238
21,108.394,1.52531,0.80298,1.096,0.8162,0.68414,0.75489,0.39494,1.63646,0.93381,1.23297,0.001604,0.001604,0.001604
22,113.531,1.53396,0.82976,1.11364,0.79807,0.69192,0.75238,0.38717,1.64711,1.77459,1.22074,0.0015842,0.0015842,0.0015842
23,118.663,1.5238,0.81175,1.09895,0.88292,0.71148,0.81238,0.42815,1.54728,0.78776,1.19521,0.0015644,0.0015644,0.0015644
24,123.847,1.47769,0.79028,1.0855,0.86237,0.78105,0.84658,0.46157,1.52102,0.80036,1.1771,0.0015446,0.0015446,0.0015446
25,129.021,1.45814,0.77319,1.09323,0.77934,0.67766,0.73267,0.3699,1.69181,0.90856,1.26725,0.0015248,0.0015248,0.0015248
26,134.166,1.44359,0.76808,1.0772,0.84824,0.75933,0.83389,0.44958,1.56354,0.87199,1.19945,0.001505,0.001505,0.001505
27,139.286,1.43113,0.75216,1.08637,0.83352,0.77871,0.83155,0.45304,1.55127,0.85687,1.19597,0.0014852,0.0014852,0.0014852
28,144.396,1.42804,0.73907,1.06941,0.83525,0.75265,0.83377,0.44783,1.54103,0.82558,1.19607,0.0014654,0.0014654,0.0014654
29,149.532,1.47377,0.75656,1.09189,0.88051,0.76471,0.83691,0.43782,1.54899,0.81416,1.19147,0.0014456,0.0014456,0.0014456
30,154.661,1.4437,0.73705,1.06247,0.86574,0.78011,0.84403,0.4537,1.56083,0.8159,1.19609,0.0014258,0.0014258,0.0014258
31,159.799,1.44576,0.72299,1.07331,0.88781,0.78151,0.85481,0.44155,1.59314,0.75588,1.205,0.001406,0.001406,0.001406
32,164.933,1.4206,0.72153,1.0643,0.85625,0.81753,0.86154,0.44976,1.59249,0.78288,1.19688,0.0013862,0.0013862,0.0013862
33,170.067,1.44648,0.724,1.06902,0.86809,0.81111,0.85312,0.46931,1.53407,0.78953,1.1718,0.0013664,0.0013664,0.0013664
34,175.274,1.41692,0.71776,1.04857,0.84832,0.77548,0.84425,0.4381,1.56584,0.85281,1.1806,0.0013466,0.0013466,0.0013466
35,180.402,1.43096,0.73248,1.05692,0.83411,0.79692,0.84266,0.46755,1.56517,0.79725,1.17293,0.0013268,0.0013268,0.0013268
36,185.527,1.35235,0.68471,1.04251,0.87455,0.82018,0.87095,0.47795,1.49579,0.70371,1.15784,0.001307,0.001307,0.001307
37,190.699,1.36792,0.68369,1.04823,0.85243,0.77171,0.84025,0.45396,1.56047,0.75349,1.17955,0.0012872,0.0012872,0.0012872
38,195.819,1.38901,0.67665,1.03664,0.84559,0.79832,0.85039,0.46104,1.55878,0.78929,1.18172,0.0012674,0.0012674,0.0012674
39,200.942,1.38541,0.69598,1.04404,0.84715,0.74522,0.82175,0.42089,1.62647,0.78321,1.21133,0.0012476,0.0012476,0.0012476
40,206.061,1.35143,0.67191,1.02815,0.87298,0.79832,0.8635,0.48269,1.5125,0.72352,1.16604,0.0012278,0.0012278,0.0012278
41,211.23,1.32703,0.66606,1.04158,0.88945,0.85639,0.88668,0.49265,1.4943,0.71467,1.16344,0.001208,0.001208,0.001208
42,216.4,1.30944,0.65314,1.035,0.86743,0.82478,0.86879,0.49097,1.46399,0.74159,1.14484,0.0011882,0.0011882,0.0011882
43,221.545,1.32538,0.67037,1.03038,0.87381,0.80812,0.87497,0.48211,1.48978,0.67618,1.16615,0.0011684,0.0011684,0.0011684
44,226.681,1.35783,0.68525,1.04621,0.87029,0.78992,0.84745,0.47754,1.49742,0.72507,1.17392,0.0011486,0.0011486,0.0011486
45,231.795,1.32734,0.66797,1.03016,0.88902,0.81513,0.88372,0.48844,1.49493,0.72375,1.15288,0.0011288,0.0011288,0.0011288
46,236.925,1.35351,0.66062,1.03155,0.87164,0.80812,0.86929,0.47398,1.5094,0.71027,1.15564,0.001109,0.001109,0.001109
47,242.053,1.32222,0.64892,1.00826,0.85456,0.83115,0.86944,0.47998,1.49182,0.7164,1.15882,0.0010892,0.0010892,0.0010892
48,247.184,1.29583,0.63534,1.02846,0.87187,0.83864,0.88298,0.4894,1.48626,0.70072,1.16117,0.0010694,0.0010694,0.0010694
49,252.329,1.31272,0.64568,1.01546,0.89312,0.83093,0.86901,0.49045,1.47366,0.69098,1.15315,0.0010496,0.0010496,0.0010496
50,257.456,1.29258,0.62896,1.00377,0.88063,0.82353,0.88194,0.49366,1.45966,0.67442,1.14993,0.0010298,0.0010298,0.0010298
51,262.623,1.26167,0.62111,1.02103,0.86813,0.83193,0.88264,0.49032,1.45904,0.69061,1.14035,0.00101,0.00101,0.00101
52,267.739,1.28784,0.62644,1.01012,0.84307,0.77451,0.83321,0.44176,1.56742,0.71082,1.18722,0.0009902,0.0009902,0.0009902
53,272.866,1.27327,0.61165,1.01785,0.901,0.81575,0.88748,0.49729,1.45795,0.6743,1.1331,0.0009704,0.0009704,0.0009704
54,278.068,1.24803,0.60931,1.00019,0.87785,0.82537,0.88584,0.48795,1.47924,0.69671,1.1559,0.0009506,0.0009506,0.0009506
55,283.202,1.22746,0.60246,1.00073,0.90693,0.81232,0.87233,0.49152,1.47152,0.6765,1.15862,0.0009308,0.0009308,0.0009308
56,288.328,1.24965,0.6136,1.00169,0.86938,0.83193,0.88638,0.50162,1.45019,0.66334,1.12156,0.000911,0.000911,0.000911
57,293.505,1.26279,0.6051,0.99069,0.89426,0.82073,0.88923,0.49344,1.46084,0.66787,1.14152,0.0008912,0.0008912,0.0008912
58,298.639,1.239,0.60502,0.99197,0.86729,0.85434,0.88093,0.49816,1.47132,0.67085,1.15498,0.0008714,0.0008714,0.0008714
59,303.759,1.2639,0.60358,1.01622,0.89517,0.81232,0.87648,0.4687,1.55132,0.67425,1.19831,0.0008516,0.0008516,0.0008516
60,308.897,1.23191,0.5969,0.99255,0.89342,0.82182,0.8794,0.4816,1.50957,0.66484,1.17616,0.0008318,0.0008318,0.0008318
61,314.019,1.22286,0.58839,0.98376,0.89725,0.82773,0.88997,0.51344,1.45857,0.64365,1.15234,0.000812,0.000812,0.000812
62,319.206,1.20935,0.59,0.97805,0.90661,0.80112,0.88238,0.49559,1.47471,0.66125,1.16087,0.0007922,0.0007922,0.0007922
63,324.317,1.22381,0.58718,0.97668,0.89439,0.81844,0.88291,0.5008,1.46248,0.63406,1.14411,0.0007724,0.0007724,0.0007724
64,329.436,1.16491,0.5663,0.97523,0.8905,0.83147,0.88891,0.50146,1.46082,0.63126,1.15085,0.0007526,0.0007526,0.0007526
65,334.554,1.2334,0.59476,0.98864,0.8842,0.8448,0.89645,0.50594,1.48636,0.6487,1.1631,0.0007328,0.0007328,0.0007328
66,339.678,1.20192,0.58324,0.97942,0.91963,0.83894,0.89125,0.51959,1.43627,0.63598,1.14248,0.000713,0.000713,0.000713
67,344.855,1.22114,0.58339,0.98256,0.91026,0.83818,0.89743,0.49467,1.47141,0.64321,1.15659,0.0006932,0.0006932,0.0006932
68,349.978,1.18683,0.56998,0.97789,0.90178,0.81513,0.8828,0.49659,1.47191,0.64829,1.18002,0.0006734,0.0006734,0.0006734
69,355.114,1.1781,0.56064,0.96287,0.90316,0.82213,0.88166,0.50027,1.50787,0.63229,1.16877,0.0006536,0.0006536,0.0006536
70,360.256,1.19351,0.57601,0.97994,0.8904,0.83754,0.8915,0.51448,1.45165,0.63085,1.14493,0.0006338,0.0006338,0.0006338
71,365.39,1.15026,0.55928,0.96674,0.87691,0.85812,0.88452,0.51424,1.45811,0.6409,1.14898,0.000614,0.000614,0.000614
72,370.513,1.16641,0.56019,0.96717,0.88918,0.83193,0.88609,0.50127,1.47313,0.65693,1.15782,0.0005942,0.0005942,0.0005942
73,375.664,1.16791,0.55451,0.96411,0.89872,0.82073,0.89535,0.51904,1.45911,0.63638,1.15315,0.0005744,0.0005744,0.0005744
74,380.789,1.17555,0.55539,0.95685,0.8865,0.86975,0.89755,0.5337,1.46431,0.6241,1.15429,0.0005546,0.0005546,0.0005546
75,385.969,1.14551,0.54227,0.96283,0.92067,0.82353,0.89772,0.52943,1.42379,0.62129,1.13974,0.0005348,0.0005348,0.0005348
76,391.114,1.13305,0.5422,0.96144,0.90426,0.83754,0.89617,0.52062,1.45723,0.62869,1.15421,0.000515,0.000515,0.000515
77,396.231,1.14754,0.55227,0.95511,0.91579,0.83773,0.90105,0.53526,1.41888,0.6112,1.1307,0.0004952,0.0004952,0.0004952
