epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.5517,1.89158,1.57604,1.2137,0.00183,0.13822,0.00102,0.00038,nan,nan,nan,0.000658915,0.000658915,0.000658915
2,40.8334,2.02933,1.41693,1.31834,0.46345,0.44398,0.40737,0.16572,1.89935,8.01459,1.3005,0.00131246,0.00131246,0.00131246
3,60.8971,2.00318,1.40383,1.31345,0.49183,0.3801,0.31307,0.12051,nan,nan,nan,0.0019528,0.0019528,0.0019528
4,80.9002,1.97763,1.34566,1.29392,0.5912,0.52565,0.51788,0.21244,1.83105,6.43937,1.21814,0.0019406,0.0019406,0.0019406
5,101.111,1.90654,1.25546,1.26138,0.67451,0.58743,0.62031,0.27162,1.75208,4.38595,1.19454,0.0019208,0.0019208,0.0019208
6,121.157,1.87304,1.19992,1.2513,0.66049,0.5938,0.61852,0.2807,1.70139,2.48502,1.13697,0.001901,0.001901,0.001901
7,141.165,1.82404,1.13275,1.22797,0.69592,0.67696,0.67476,0.31836,1.61319,3.77898,1.12507,0.0018812,0.0018812,0.0018812
8,161.148,1.78302,1.09392,1.20424,0.72677,0.61623,0.64497,0.2757,1.77206,3.40597,1.16431,0.0018614,0.0018614,0.0018614
9,181.135,1.77048,1.05377,1.19484,0.80062,0.67958,0.74328,0.35984,1.5874,4.03479,1.11156,0.0018416,0.0018416,0.0018416
10,201.146,1.72666,1.0276,1.18603,0.75388,0.66713,0.70893,0.34362,1.58665,3.53116,1.09049,0.0018218,0.0018218,0.0018218
11,221.117,1.69708,0.98819,1.16044,0.79148,0.71544,0.77309,0.38253,1.54941,4.34673,1.08281,0.001802,0.001802,0.001802
12,241.172,1.69243,0.96053,1.16425,0.71975,0.64346,0.6596,0.28814,1.67973,3.26714,1.12135,0.0017822,0.0017822,0.0017822
13,261.105,1.67001,0.95586,1.15201,0.79856,0.75548,0.79073,0.3944,1.52104,5.04224,1.06908,0.0017624,0.0017624,0.0017624
14,281.13,1.66135,0.92798,1.14579,0.81725,0.75445,0.78941,0.39366,1.51394,3.96472,1.05783,0.0017426,0.0017426,0.0017426
15,301.117,1.64746,0.91596,1.14772,0.80121,0.75445,0.78144,0.39394,1.48935,4.2911,1.0484,0.0017228,0.0017228,0.0017228
16,321.056,1.61521,0.89606,1.13705,0.83064,0.79347,0.82149,0.43532,1.41846,5.93829,1.02893,0.001703,0.001703,0.001703
17,341.056,1.60165,0.8706,1.12462,0.83135,0.78848,0.80755,0.41835,1.44042,4.19634,1.03644,0.0016832,0.0016832,0.0016832
18,361.06,1.58187,0.85537,1.11611,0.81539,0.77931,0.8175,0.4329,1.45196,4.82869,1.02951,0.0016634,0.0016634,0.0016634
19,381.004,1.59032,0.85528,1.11104,0.80655,0.77016,0.81619,0.42882,1.44708,4.62951,1.04216,0.0016436,0.0016436,0.0016436
20,400.971,1.58741,0.85589,1.11864,0.85497,0.79632,0.84042,0.4427,1.45206,4.2242,1.04371,0.0016238,0.0016238,0.0016238
