epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.00518,2.1865,5.97808,1.12941,0.78505,0.55212,0.71836,0.3614,1.56209,2.92286,1.07928,0.00022,0.00022,0.00022
2,6.25622,1.87323,2.26135,1.10575,0.01272,0.7907,0.01167,0.00542,2.02644,65.3638,2.55512,0.000455446,0.000455446,0.000455446
3,9.446,1.96525,1.41728,1.17043,0.00348,0.53488,0.0027,0.00128,1.84986,nan,1.77101,0.00068614,0.00068614,0.00068614
4,12.6084,2.0399,1.38088,1.18962,0,0,0,0,nan,nan,nan,0.000912082,0.000912082,0.000912082
5,15.753,1.97381,1.25112,1.1625,0.00438,0.19767,0.00255,0.00085,2.91012,251.346,3.2709,0.00113327,0.00113327,0.00113327
6,18.8882,1.92657,1.2182,1.18304,0.00229,0.46512,0.00176,0.00071,nan,nan,nan,0.00134971,0.00134971,0.00134971
7,22.0388,1.86723,1.05806,1.14942,0.00306,0.68605,0.0026,0.00123,nan,nan,nan,0.0015614,0.0015614,0.0015614
8,25.1683,1.93068,1.14546,1.17848,0.00046,0.04651,0.0002,7e-05,nan,nan,nan,0.00176833,0.00176833,0.00176833
9,28.3428,1.98074,1.13479,1.16123,0.00047,0.10465,0.00026,0.00012,nan,nan,nan,0.0018416,0.0018416,0.0018416
10,31.4741,1.82463,1.19215,1.14107,0.21074,0.11628,0.08561,0.04444,2.30607,31.9161,2.8863,0.0018218,0.0018218,0.0018218
11,34.5747,1.87153,1.00063,1.11897,0.52217,0.09302,0.10221,0.04345,3.22365,4.49421,4.93191,0.001802,0.001802,0.001802
12,37.6967,1.89703,1.00396,1.14655,0.59825,0.2093,0.22726,0.10699,2.38182,3.80606,1.89529,0.0017822,0.0017822,0.0017822
13,40.8154,1.85986,1.00307,1.14065,0.58574,0.23256,0.22364,0.10229,nan,nan,nan,0.0017624,0.0017624,0.0017624
14,43.9378,1.85248,0.97213,1.1312,0.0005,0.01163,0.00026,0.0001,nan,nan,nan,0.0017426,0.0017426,0.0017426
15,47.0622,1.77434,0.93603,1.10458,0,0,0,0,nan,nan,nan,0.0017228,0.0017228,0.0017228
16,50.1981,1.70698,0.93235,1.0894,0.62352,0.16279,0.18213,0.07763,3.14014,3.7871,2.42568,0.001703,0.001703,0.001703
17,53.3418,1.72411,0.9259,1.07914,0.83559,0.82735,0.90103,0.45041,1.91294,1.88661,1.38857,0.0016832,0.0016832,0.0016832
18,56.5611,1.72098,0.96309,1.11986,0.89954,0.84884,0.90967,0.49308,1.6962,2.14005,1.34809,0.0016634,0.0016634,0.0016634
19,59.7798,1.69454,0.88193,1.0564,0.77801,0.7093,0.77355,0.37527,1.86969,1.44933,1.38138,0.0016436,0.0016436,0.0016436
20,62.9287,1.69491,0.90764,1.10125,0.93216,0.84884,0.92581,0.4627,1.81447,1.14247,1.34293,0.0016238,0.0016238,0.0016238
