epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.56779,1.79817,2.56472,1.18291,0.03455,0.29858,0.02098,0.00816,2.07646,17.8987,1.92638,0.00056,0.00056,0.00056
2,14.8017,2.03051,1.67949,1.35573,0,0,0,0,nan,nan,nan,0.00112871,0.00112871,0.00112871
3,21.8598,2.01335,1.58093,1.34482,0.00182,0.01896,0.00076,0.00025,nan,nan,nan,0.00168594,0.00168594,0.00168594
4,28.9886,2.01952,1.70574,1.36087,0.00283,0.24645,0.00164,0.00057,nan,nan,nan,0.0019406,0.0019406,0.0019406
5,35.8985,2.11833,1.71468,1.38585,0.00175,0.01422,0.0009,0.00021,nan,nan,nan,0.0019208,0.0019208,0.0019208
6,42.8523,1.99427,1.5869,1.34152,0.00911,0.61137,0.00738,0.00265,nan,nan,nan,0.001901,0.001901,0.001901
7,49.7163,1.92332,1.45039,1.33471,0,0,0,0,nan,nan,nan,0.0018812,0.0018812,0.0018812
8,56.6055,1.8913,1.38964,1.28469,0.04875,0.1327,0.01115,0.00437,nan,nan,nan,0.0018614,0.0018614,0.0018614
9,63.5283,1.87433,1.30802,1.27389,0.66415,0.53889,0.58638,0.25719,1.8241,2.5185,1.3235,0.0018416,0.0018416,0.0018416
10,70.4888,1.8336,1.26265,1.2643,0.68353,0.62952,0.66597,0.33951,1.6851,1.41454,1.26898,0.0018218,0.0018218,0.0018218
11,77.4667,1.81195,1.24252,1.25027,0.8146,0.62085,0.73557,0.3623,1.72839,1.79463,1.31963,0.001802,0.001802,0.001802
12,84.462,1.7432,1.17268,1.20034,0.68509,0.5545,0.59213,0.25631,1.85678,2.31018,1.32747,0.0017822,0.0017822,0.0017822
13,91.4149,1.71217,1.12944,1.2006,0.72339,0.54535,0.60738,0.282,1.78846,1.41944,1.30835,0.0017624,0.0017624,0.0017624
14,98.3201,1.71693,1.14681,1.19774,0.79333,0.66588,0.76067,0.38363,1.48977,1.26058,1.1908,0.0017426,0.0017426,0.0017426
15,105.301,1.70418,1.11595,1.18753,0.77035,0.64692,0.71421,0.33663,1.78594,1.46497,1.28814,0.0017228,0.0017228,0.0017228
16,112.235,1.6926,1.09639,1.20381,0.77568,0.68011,0.75217,0.37251,1.47178,1.55987,1.18451,0.001703,0.001703,0.001703
17,119.199,1.66437,1.05471,1.17402,0.82409,0.69194,0.75582,0.39522,1.79881,1.33963,1.32653,0.0016832,0.0016832,0.0016832
18,126.159,1.64188,1.0278,1.15372,0.79899,0.7441,0.79618,0.40513,1.63777,1.17401,1.24547,0.0016634,0.0016634,0.0016634
19,133.15,1.66275,1.01084,1.14607,0.89366,0.70379,0.81812,0.42589,1.50665,0.98715,1.18386,0.0016436,0.0016436,0.0016436
20,140.135,1.58334,0.97808,1.13961,0.80494,0.6454,0.72818,0.36124,1.63519,1.39041,1.26273,0.0016238,0.0016238,0.0016238
21,147.06,1.60462,0.9724,1.14355,0.78017,0.69803,0.75051,0.41746,1.5569,1.8836,1.18914,0.001604,0.001604,0.001604
22,153.991,1.54732,0.95756,1.13434,0.82345,0.74645,0.817,0.4343,1.56546,1.27357,1.20125,0.0015842,0.0015842,0.0015842
23,160.95,1.5633,0.96167,1.13849,0.79651,0.69194,0.77484,0.39914,1.58696,1.12463,1.19211,0.0015644,0.0015644,0.0015644
24,167.856,1.55104,0.93516,1.11705,0.83429,0.75118,0.80289,0.43368,1.39071,0.92586,1.17021,0.0015446,0.0015446,0.0015446
25,174.789,1.52217,0.91459,1.12275,0.87064,0.68009,0.78281,0.39603,1.55622,1.04951,1.1961,0.0015248,0.0015248,0.0015248
26,181.764,1.52163,0.90802,1.08598,0.8919,0.76248,0.84745,0.45607,1.58174,0.9338,1.15704,0.001505,0.001505,0.001505
27,188.744,1.50627,0.8737,1.08627,0.83691,0.77251,0.82469,0.44878,1.58488,0.95348,1.17463,0.0014852,0.0014852,0.0014852
28,195.659,1.48627,0.8831,1.09034,0.86697,0.78762,0.85467,0.47397,1.51377,1.0206,1.16255,0.0014654,0.0014654,0.0014654
29,202.711,1.49555,0.89882,1.08951,0.86437,0.76303,0.8477,0.47014,1.56061,1.06626,1.20951,0.0014456,0.0014456,0.0014456
30,209.769,1.46317,0.85417,1.08133,0.88034,0.72986,0.80265,0.43586,1.52515,0.89907,1.17351,0.0014258,0.0014258,0.0014258
31,216.697,1.43923,0.83331,1.08663,0.84435,0.76303,0.82283,0.45144,1.44075,0.98752,1.14875,0.001406,0.001406,0.001406
32,223.626,1.45239,0.83832,1.0834,0.87588,0.70233,0.81867,0.43053,1.53419,1.0084,1.20973,0.0013862,0.0013862,0.0013862
33,230.531,1.46637,0.85808,1.0716,0.81496,0.66588,0.73412,0.36798,1.64938,1.09197,1.23604,0.0013664,0.0013664,0.0013664
34,237.433,1.41259,0.81304,1.06967,0.8671,0.6872,0.74967,0.39842,1.71069,1.17791,1.27488,0.0013466,0.0013466,0.0013466
35,244.357,1.39502,0.80984,1.06653,0.86696,0.7412,0.83899,0.46692,1.38948,0.83234,1.10969,0.0013268,0.0013268,0.0013268
36,251.27,1.41982,0.80333,1.04377,0.90393,0.78673,0.87066,0.4869,nan,nan,nan,0.001307,0.001307,0.001307
37,258.233,1.37267,0.78176,1.0487,0.87973,0.78,0.8635,0.48291,1.39316,0.78959,1.12504,0.0012872,0.0012872,0.0012872
38,265.154,1.40035,0.79067,1.05695,0.85081,0.80569,0.86026,0.49857,1.41375,0.76712,1.12497,0.0012674,0.0012674,0.0012674
39,272.125,1.34346,0.75361,1.03209,0.8793,0.75957,0.84356,0.46838,1.45956,0.9149,1.12366,0.0012476,0.0012476,0.0012476
40,279.063,1.3407,0.7646,1.02629,0.86611,0.67448,0.77245,0.43496,1.43566,0.92111,1.12941,0.0012278,0.0012278,0.0012278
41,285.986,1.31539,0.73915,1.02105,0.87875,0.79858,0.86687,0.47643,1.51041,0.76506,1.1434,0.001208,0.001208,0.001208
42,292.895,1.29934,0.71888,1.02507,0.90501,0.75355,0.84284,0.48509,1.3411,0.79519,1.09656,0.0011882,0.0011882,0.0011882
43,299.827,1.31212,0.74706,1.03814,0.89856,0.77667,0.8808,0.49421,1.45253,0.80952,1.12332,0.0011684,0.0011684,0.0011684
44,306.773,1.35193,0.7455,1.03853,0.91083,0.77455,0.87195,0.48213,1.51996,0.74863,1.1675,0.0011486,0.0011486,0.0011486
45,313.696,1.34367,0.74288,1.01357,0.88356,0.80914,0.87265,0.48676,1.55978,0.74289,1.18607,0.0011288,0.0011288,0.0011288
46,320.592,1.29124,0.71286,1.00585,0.8934,0.74645,0.83805,0.44451,1.57977,0.87655,1.16267,0.001109,0.001109,0.001109
47,327.498,1.29737,0.71165,0.99746,0.8679,0.78673,0.85559,0.4749,1.31867,0.7803,1.09157,0.0010892,0.0010892,0.0010892
48,334.415,1.31767,0.72387,1.02947,0.86506,0.81991,0.8814,0.50126,1.37662,0.88381,1.1048,0.0010694,0.0010694,0.0010694
49,341.401,1.24134,0.67862,1.00597,0.89018,0.79147,0.85004,0.47424,1.40431,0.74573,1.11791,0.0010496,0.0010496,0.0010496
50,348.329,1.2525,0.67761,1.00522,0.90906,0.81991,0.89405,0.5081,1.4175,0.72191,1.09987,0.0010298,0.0010298,0.0010298
51,355.294,1.27355,0.70562,1.01371,0.88067,0.79858,0.87769,0.4931,1.47376,0.75002,1.13495,0.00101,0.00101,0.00101
52,362.209,1.26049,0.69013,0.99965,0.91381,0.81043,0.87873,0.51212,1.41713,0.71652,1.13868,0.0009902,0.0009902,0.0009902
53,369.167,1.2092,0.66283,0.99187,0.92167,0.78077,0.86356,0.50366,1.44095,0.74076,1.11791,0.0009704,0.0009704,0.0009704
54,376.068,1.22499,0.6844,0.99671,0.88763,0.80491,0.88474,0.52974,1.26994,0.67036,1.07001,0.0009506,0.0009506,0.0009506
