epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.52272,2.08967,3.33771,1.17895,0.6301,0.54953,0.58321,0.28762,1.76998,2.50387,1.10645,0.00026,0.00026,0.00026
2,7.2635,1.71534,1.25269,1.09527,0.01759,0.24057,0.011,0.00405,2.28637,20.8681,1.36861,0.000534654,0.000534654,0.000534654
3,10.9973,1.73469,1.02551,1.13063,4e-05,0.00236,2e-05,0,nan,nan,nan,0.000803764,0.000803764,0.000803764
4,14.6559,1.76204,1.01636,1.132,0.0012,0.00943,0.00061,0.00011,nan,nan,nan,0.00106733,0.00106733,0.00106733
5,18.3014,1.66224,0.94558,1.11258,0.07123,0.05425,0.024,0.00656,nan,nan,nan,0.00132535,0.00132535,0.00132535
6,21.9189,1.69904,0.95377,1.09885,0,0,0,0,nan,nan,nan,0.00157783,0.00157783,0.00157783
7,25.5691,1.72311,1.02967,1.1266,0.00024,0.00708,0.00012,1e-05,nan,nan,nan,0.00182476,0.00182476,0.00182476
8,29.2528,1.72953,1.06535,1.14979,0.02059,0.17453,0.00864,0.00327,nan,nan,nan,0.0018614,0.0018614,0.0018614
9,32.8999,1.70807,1.00512,1.11906,0.31028,0.19811,0.12827,0.05341,nan,nan,nan,0.0018416,0.0018416,0.0018416
10,36.5648,1.65541,0.88184,1.1054,0.79306,0.75924,0.80146,0.37716,1.74754,4.24223,1.22742,0.0018218,0.0018218,0.0018218
11,40.2834,1.65921,0.90178,1.1122,0.85988,0.78774,0.86843,0.42937,1.71853,5.4201,1.20263,0.001802,0.001802,0.001802
12,43.9946,1.63625,0.85507,1.09483,0.65761,0.79953,0.67415,0.32128,1.73402,2.49785,1.17924,0.0017822,0.0017822,0.0017822
13,47.6407,1.64778,0.86488,1.09258,0.59901,0.54717,0.53748,0.20633,2.16044,2.81128,1.29564,0.0017624,0.0017624,0.0017624
14,51.3028,1.65156,0.90201,1.10616,0.58065,0.51887,0.54879,0.24192,1.93991,4.65799,1.22103,0.0017426,0.0017426,0.0017426
15,54.967,1.63411,0.86379,1.07857,0.53296,0.57597,0.56484,0.26057,1.80378,3.76842,1.15385,0.0017228,0.0017228,0.0017228
16,58.6283,1.59563,0.84213,1.07017,0.79703,0.71934,0.79708,0.42285,1.62867,3.21379,1.10775,0.001703,0.001703,0.001703
17,62.2847,1.57775,0.80242,1.07745,0.8022,0.74607,0.82045,0.43051,1.66985,1.75425,1.10288,0.0016832,0.0016832,0.0016832
18,65.9357,1.57925,0.79565,1.06886,0.86973,0.87264,0.91282,0.46731,1.61785,1.00691,1.09334,0.0016634,0.0016634,0.0016634
19,69.6418,1.57554,0.77928,1.05984,0.89793,0.9033,0.92655,0.48148,1.61937,0.8677,1.09281,0.0016436,0.0016436,0.0016436
20,73.3515,1.55119,0.78534,1.07393,0.66529,0.71724,0.68937,0.33671,1.76326,1.95156,1.12967,0.0016238,0.0016238,0.0016238
21,77.0083,1.53308,0.75926,1.04772,0.82157,0.79717,0.84646,0.43297,1.67866,1.0274,1.11273,0.001604,0.001604,0.001604
22,80.6731,1.50577,0.76192,1.05558,0.73301,0.6934,0.74045,0.35306,1.81175,1.12536,1.15914,0.0015842,0.0015842,0.0015842
23,84.3361,1.51422,0.75383,1.05216,0.86703,0.8467,0.89499,0.46914,1.58349,1.2061,1.08374,0.0015644,0.0015644,0.0015644
24,88.0011,1.4749,0.7375,1.03698,0.90612,0.86505,0.924,0.51018,1.54305,1.04404,1.07393,0.0015446,0.0015446,0.0015446
25,91.7028,1.47621,0.72104,1.02524,0.92388,0.91597,0.94004,0.52015,1.52903,0.83182,1.07531,0.0015248,0.0015248,0.0015248
26,95.4023,1.49097,0.71425,1.03937,0.91877,0.88443,0.93685,0.49853,1.53138,0.8236,1.06342,0.001505,0.001505,0.001505
27,99.0525,1.45736,0.71477,1.03451,0.92525,0.88679,0.93146,0.50407,1.56915,0.85282,1.0568,0.0014852,0.0014852,0.0014852
28,102.705,1.4421,0.71807,1.0324,0.87705,0.87486,0.90769,0.46804,1.61829,0.85268,1.08145,0.0014654,0.0014654,0.0014654
29,106.356,1.44378,0.6888,1.01328,0.92606,0.91575,0.93418,0.51513,1.53176,0.8479,1.06228,0.0014456,0.0014456,0.0014456
30,110.006,1.47198,0.68885,1.03755,0.85828,0.87264,0.91002,0.48638,1.551,0.88046,1.07025,0.0014258,0.0014258,0.0014258
31,113.672,1.44188,0.69403,1.02247,0.88973,0.89442,0.92977,0.49569,1.55511,0.84892,1.06702,0.001406,0.001406,0.001406
32,117.319,1.39653,0.67032,1.00528,0.94712,0.92453,0.96618,0.55021,1.47745,0.72361,1.03984,0.0013862,0.0013862,0.0013862
33,121.016,1.40685,0.67837,1.00716,0.92266,0.92925,0.956,0.54253,1.48747,0.70581,1.05273,0.0013664,0.0013664,0.0013664
34,124.662,1.40369,0.67639,0.99925,0.90769,0.92761,0.95352,0.52461,1.49566,0.8002,1.03688,0.0013466,0.0013466,0.0013466
35,128.301,1.35207,0.63723,0.9842,0.82856,0.8467,0.88333,0.48838,1.51249,0.93079,1.05356,0.0013268,0.0013268,0.0013268
36,131.941,1.37589,0.65166,0.99669,0.95579,0.91038,0.96334,0.56272,1.45418,0.66247,1.04726,0.001307,0.001307,0.001307
37,135.636,1.39325,0.66691,0.99312,0.88836,0.9316,0.93904,0.53261,1.50865,0.73704,1.05791,0.0012872,0.0012872,0.0012872
38,139.281,1.37765,0.65695,0.98785,0.93222,0.90822,0.95947,0.55347,1.48735,0.69728,1.0424,0.0012674,0.0012674,0.0012674
39,142.919,1.37318,0.64166,0.99469,0.92068,0.87605,0.94365,0.52813,1.54521,0.71443,1.06698,0.0012476,0.0012476,0.0012476
40,146.568,1.38512,0.64823,0.99339,0.89173,0.87411,0.9174,0.49733,1.55444,0.76153,1.05351,0.0012278,0.0012278,0.0012278
41,150.21,1.33187,0.63144,0.97146,0.93429,0.93396,0.95843,0.56732,1.4478,0.70054,1.03504,0.001208,0.001208,0.001208
42,153.903,1.33976,0.635,0.99259,0.9379,0.91509,0.96206,0.56637,1.437,0.6788,1.02782,0.0011882,0.0011882,0.0011882
43,157.547,1.34334,0.63332,0.98749,0.95312,0.93396,0.97061,0.56237,1.44756,0.66926,1.02885,0.0011684,0.0011684,0.0011684
44,161.196,1.34454,0.62826,0.9728,0.91552,0.92017,0.94715,0.53684,1.49509,0.7423,1.05819,0.0011486,0.0011486,0.0011486
45,164.84,1.34373,0.63303,0.99155,0.92239,0.92501,0.94786,0.54893,1.45209,0.71168,1.03183,0.0011288,0.0011288,0.0011288
46,168.493,1.32297,0.63062,0.99048,0.9464,0.89387,0.94888,0.54179,1.49218,0.70339,1.04622,0.001109,0.001109,0.001109
47,172.136,1.31802,0.60261,0.99296,0.95447,0.93935,0.97068,0.57159,1.43477,0.6629,1.02413,0.0010892,0.0010892,0.0010892
48,175.845,1.32965,0.62415,0.97429,0.94176,0.9153,0.95425,0.56559,1.42425,0.65446,1.03164,0.0010694,0.0010694,0.0010694
49,179.488,1.32024,0.62214,0.98764,0.94011,0.92689,0.96116,0.55467,1.45669,0.66706,1.03256,0.0010496,0.0010496,0.0010496
50,183.138,1.29011,0.60798,0.97734,0.9374,0.94104,0.95628,0.56347,1.43902,0.65677,1.03689,0.0010298,0.0010298,0.0010298
51,186.785,1.28541,0.60247,0.9844,0.9137,0.91038,0.93088,0.53207,1.48162,0.70822,1.04275,0.00101,0.00101,0.00101
52,190.449,1.28802,0.59419,0.96182,0.93445,0.94133,0.96208,0.5756,1.41546,0.63827,1.03781,0.0009902,0.0009902,0.0009902
53,194.144,1.26425,0.58057,0.97133,0.92238,0.92453,0.95506,0.57023,1.42249,0.65678,1.02779,0.0009704,0.0009704,0.0009704
54,197.801,1.28088,0.59317,0.97543,0.93044,0.95047,0.95733,0.56263,1.41837,0.64146,1.04151,0.0009506,0.0009506,0.0009506
55,201.454,1.25265,0.58549,0.97504,0.94528,0.9316,0.97029,0.59,1.40917,0.6241,1.02929,0.0009308,0.0009308,0.0009308
56,205.155,1.24216,0.5671,0.96052,0.94837,0.95309,0.97254,0.58949,1.40947,0.63355,1.01741,0.000911,0.000911,0.000911
57,208.793,1.25388,0.58878,0.97222,0.95491,0.93868,0.97056,0.57488,1.42122,0.63067,1.0252,0.0008912,0.0008912,0.0008912
58,212.445,1.2655,0.58242,0.95324,0.96407,0.94575,0.96388,0.58893,1.39636,0.60739,1.03029,0.0008714,0.0008714,0.0008714
59,216.09,1.22821,0.56527,0.9471,0.95949,0.94955,0.96913,0.5823,1.41921,0.61545,1.02864,0.0008516,0.0008516,0.0008516
60,219.738,1.21543,0.55828,0.95185,0.93643,0.95283,0.96578,0.58053,1.41483,0.60393,1.02408,0.0008318,0.0008318,0.0008318
61,223.389,1.21971,0.55616,0.94363,0.94054,0.95519,0.96857,0.58968,1.38876,0.60712,1.02133,0.000812,0.000812,0.000812
62,227.042,1.23871,0.55934,0.9624,0.94896,0.96461,0.97805,0.6051,1.37789,0.59239,1.01838,0.0007922,0.0007922,0.0007922
63,230.746,1.19791,0.55372,0.94125,0.94591,0.95991,0.97516,0.59465,1.41454,0.59633,1.03814,0.0007724,0.0007724,0.0007724
64,234.399,1.22185,0.55753,0.9494,0.91703,0.96449,0.96967,0.59007,1.40288,0.61592,1.03525,0.0007526,0.0007526,0.0007526
65,238.059,1.19754,0.55709,0.94545,0.93107,0.94104,0.97286,0.59062,1.40683,0.61687,1.02551,0.0007328,0.0007328,0.0007328
66,241.72,1.20142,0.54939,0.95183,0.91174,0.92925,0.95726,0.56372,1.42402,0.67137,1.03082,0.000713,0.000713,0.000713
67,245.365,1.19624,0.56189,0.944,0.92987,0.9434,0.97076,0.58752,1.39851,0.61875,1.02108,0.0006932,0.0006932,0.0006932
68,249.012,1.17257,0.54189,0.94269,0.92992,0.94104,0.96451,0.58938,1.40183,0.62117,1.028,0.0006734,0.0006734,0.0006734
69,252.661,1.16575,0.53131,0.94282,0.93517,0.95252,0.97141,0.59348,1.3988,0.60499,1.02769,0.0006536,0.0006536,0.0006536
70,256.313,1.18262,0.52236,0.94375,0.92872,0.9316,0.95744,0.58538,1.40756,0.61373,1.03879,0.0006338,0.0006338,0.0006338
71,259.957,1.19022,0.53367,0.94976,0.94375,0.94963,0.97157,0.58525,1.40861,0.59768,1.03879,0.000614,0.000614,0.000614
72,263.609,1.18225,0.53807,0.94311,0.95076,0.94811,0.97699,0.60718,1.37739,0.59128,1.02162,0.0005942,0.0005942,0.0005942
73,267.307,1.15876,0.52699,0.92976,0.9363,0.95519,0.97346,0.60819,1.38617,0.59055,1.02501,0.0005744,0.0005744,0.0005744
74,271.006,1.17473,0.52166,0.9363,0.93799,0.93632,0.9611,0.58296,1.41346,0.60464,1.03281,0.0005546,0.0005546,0.0005546
75,274.656,1.14813,0.51666,0.92778,0.9438,0.96226,0.97329,0.60685,1.39831,0.59163,1.03364,0.0005348,0.0005348,0.0005348
76,278.301,1.14842,0.51127,0.92858,0.94612,0.96462,0.96671,0.59362,1.41224,0.59011,1.02403,0.000515,0.000515,0.000515
77,281.944,1.15018,0.51806,0.93223,0.95381,0.96698,0.97483,0.60721,1.37242,0.57932,1.02445,0.0004952,0.0004952,0.0004952
78,285.591,1.1226,0.50769,0.9237,0.94851,0.96226,0.9722,0.60345,1.38328,0.59407,1.02294,0.0004754,0.0004754,0.0004754
79,289.243,1.12665,0.50857,0.92335,0.94869,0.95944,0.9707,0.59749,1.39386,0.59811,1.02922,0.0004556,0.0004556,0.0004556
80,292.895,1.09727,0.49905,0.92078,0.93265,0.95755,0.969,0.59567,1.40046,0.58372,1.02937,0.0004358,0.0004358,0.0004358
81,296.55,1.10492,0.50175,0.92242,0.95803,0.95283,0.97771,0.60379,1.3737,0.56982,1.02796,0.000416,0.000416,0.000416
82,300.215,1.12228,0.50356,0.92753,0.9407,0.95047,0.97152,0.61096,1.37971,0.59405,1.03394,0.0003962,0.0003962,0.0003962
83,303.919,1.10606,0.50038,0.91753,0.94698,0.95991,0.97378,0.61065,1.36409,0.58204,1.01637,0.0003764,0.0003764,0.0003764
84,307.572,1.07235,0.48831,0.9229,0.95572,0.9717,0.97487,0.60998,1.38528,0.57088,1.02348,0.0003566,0.0003566,0.0003566
85,311.226,1.09385,0.49491,0.91596,0.95922,0.96698,0.97721,0.61151,1.3833,0.5678,1.01491,0.0003368,0.0003368,0.0003368
86,314.936,1.08997,0.48293,0.91437,0.95728,0.95283,0.9683,0.60834,1.37615,0.58571,1.01971,0.000317,0.000317,0.000317
87,318.583,1.07627,0.47788,0.89924,0.95762,0.95915,0.97299,0.61047,1.37832,0.58573,1.02487,0.0002972,0.0002972,0.0002972
88,322.23,1.07227,0.48087,0.91709,0.95068,0.96226,0.97221,0.60382,1.37672,0.57962,1.02332,0.0002774,0.0002774,0.0002774
89,325.881,1.06911,0.47518,0.91118,0.96258,0.95991,0.97723,0.61381,1.36772,0.57528,1.02647,0.0002576,0.0002576,0.0002576
90,329.578,1.06329,0.47532,0.91101,0.9621,0.95799,0.97777,0.61765,1.37579,0.56356,1.027,0.0002378,0.0002378,0.0002378
91,333.638,1.06842,0.46754,0.92184,0.96226,0.96208,0.98429,0.6255,1.36392,0.55703,1.01641,0.000218,0.000218,0.000218
92,337.349,1.05553,0.46393,0.9144,0.96464,0.96516,0.98479,0.62003,1.36924,0.56501,1.01526,0.0001982,0.0001982,0.0001982
93,340.985,1.08091,0.46646,0.91528,0.96017,0.96662,0.98209,0.62062,1.35583,0.55825,1.01475,0.0001784,0.0001784,0.0001784
94,344.631,1.05697,0.44974,0.91352,0.96313,0.96698,0.9787,0.61813,1.35049,0.55701,1.01331,0.0001586,0.0001586,0.0001586
95,348.273,1.05168,0.45608,0.91069,0.96161,0.96698,0.98008,0.62021,1.35217,0.55985,1.0174,0.0001388,0.0001388,0.0001388
96,351.911,1.033,0.4543,0.91271,0.9619,0.96462,0.97902,0.61895,1.35121,0.55746,1.01817,0.000119,0.000119,0.000119
97,355.549,1.05242,0.45084,0.90586,0.94677,0.96476,0.97573,0.61457,1.36332,0.56747,1.02301,9.92e-05,9.92e-05,9.92e-05
98,359.191,1.0206,0.44865,0.89528,0.94904,0.96625,0.97725,0.61461,1.36016,0.55776,1.02592,7.94e-05,7.94e-05,7.94e-05
99,362.828,1.03331,0.4485,0.90022,0.95061,0.96698,0.97987,0.6194,1.35128,0.55205,1.02259,5.96e-05,5.96e-05,5.96e-05
100,366.469,1.03343,0.44878,0.90774,0.95353,0.96788,0.97996,0.62235,1.35327,0.55375,1.02273,3.98e-05,3.98e-05,3.98e-05
