epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.22337,2.26138,3.3426,1.41147,0.55138,0.61714,0.59033,0.25101,1.85665,1.84328,1.30659,0.00024,0.00024,0.00024
2,6.69769,1.8857,1.4756,1.25826,0.46628,0.25143,0.26037,0.11095,2.47665,2.84699,2.03522,0.00049505,0.00049505,0.00049505
3,10.1906,1.75291,1.05545,1.26779,0.52722,0.50571,0.40749,0.15624,2.2144,2.99226,1.80246,0.000744952,0.000744952,0.000744952
4,13.6105,1.78595,1.06338,1.26846,0,0,0,0,nan,nan,nan,0.000989706,0.000989706,0.000989706
5,16.9329,1.77465,1.01,1.25687,0,0,0,0,nan,nan,nan,0.00122931,0.00122931,0.00122931
6,20.2714,1.77427,1.11574,1.23786,0,0,0,0,nan,nan,nan,0.00146377,0.00146377,0.00146377
7,23.5955,1.78079,0.996,1.27821,0,0,0,0,nan,nan,nan,0.00169308,0.00169308,0.00169308
8,26.9894,1.78267,0.98341,1.27017,0.49388,0.31429,0.27618,0.12214,nan,nan,nan,0.0018614,0.0018614,0.0018614
9,30.3583,1.745,0.96501,1.26493,0.0579,0.03143,0.0084,0.00201,nan,nan,nan,0.0018416,0.0018416,0.0018416
10,33.6702,1.72974,0.95925,1.263,0.06239,0.02,0.00568,0.00206,nan,nan,nan,0.0018218,0.0018218,0.0018218
11,37.0267,1.73792,0.95222,1.24686,0.53651,0.37429,0.3692,0.13018,nan,nan,nan,0.001802,0.001802,0.001802
12,40.3757,1.69721,0.90228,1.21905,0.02184,0.42,0.01379,0.00642,nan,nan,nan,0.0017822,0.0017822,0.0017822
13,43.7605,1.62299,0.86476,1.23122,0.06551,0.35429,0.03737,0.01271,2.65862,29.5423,1.9698,0.0017624,0.0017624,0.0017624
14,47.1593,1.65679,0.87789,1.23048,0.02262,0.32286,0.01234,0.00411,3.25949,inf,2.44493,0.0017426,0.0017426,0.0017426
15,50.5222,1.66204,0.86447,1.23006,0.43572,0.36,0.25348,0.09501,nan,nan,nan,0.0017228,0.0017228,0.0017228
16,53.9163,1.65377,0.82517,1.21985,0.12532,0.48286,0.08619,0.03299,nan,nan,nan,0.001703,0.001703,0.001703
17,57.2928,1.58656,0.79931,1.18132,0.63899,0.70286,0.6124,0.28563,1.8097,2.4063,1.32498,0.0016832,0.0016832,0.0016832
18,60.7052,1.60819,0.8095,1.19251,0.79934,0.70286,0.7956,0.39795,1.75465,4.45103,1.3023,0.0016634,0.0016634,0.0016634
19,64.1189,1.56169,0.7796,1.16361,0.84483,0.79337,0.84589,0.41819,1.70013,2.53411,1.26189,0.0016436,0.0016436,0.0016436
20,67.5369,1.56091,0.78096,1.17024,0.80181,0.79758,0.83439,0.39729,1.71765,1.37702,1.27194,0.0016238,0.0016238,0.0016238
21,70.8876,1.55022,0.7637,1.1629,0.78386,0.72,0.79729,0.40187,1.6607,1.74968,1.25329,0.001604,0.001604,0.001604
22,74.2705,1.55478,0.77974,1.18882,0.82287,0.80967,0.88074,0.43959,1.73677,1.01731,1.25996,0.0015842,0.0015842,0.0015842
23,77.7171,1.52963,0.7596,1.15629,0.81148,0.8486,0.87691,0.43709,1.73463,1.13344,1.23428,0.0015644,0.0015644,0.0015644
24,81.0854,1.52286,0.71382,1.16976,0.90568,0.91714,0.95175,0.50333,1.59972,0.81807,1.20819,0.0015446,0.0015446,0.0015446
25,84.5368,1.51017,0.74792,1.15515,0.85446,0.85546,0.90214,0.46076,1.71151,0.91006,1.24492,0.0015248,0.0015248,0.0015248
26,87.9263,1.50405,0.72326,1.13533,0.87091,0.80286,0.88412,0.43615,1.70459,1.01051,1.23749,0.001505,0.001505,0.001505
27,91.3125,1.47369,0.69927,1.1411,0.88415,0.9,0.93468,0.49874,1.62625,0.85849,1.21004,0.0014852,0.0014852,0.0014852
28,94.7284,1.4866,0.70998,1.12323,0.92008,0.92106,0.95344,0.51117,1.59289,0.81604,1.17274,0.0014654,0.0014654,0.0014654
29,98.1369,1.46018,0.71286,1.12118,0.90998,0.90571,0.92991,0.4903,1.61229,0.80989,1.20144,0.0014456,0.0014456,0.0014456
30,101.482,1.44011,0.68345,1.10396,0.85247,0.85429,0.89203,0.45328,1.62299,0.93517,1.21648,0.0014258,0.0014258,0.0014258
31,104.838,1.4253,0.68049,1.10838,0.86846,0.88,0.88492,0.45694,1.59921,0.88699,1.20012,0.001406,0.001406,0.001406
32,108.184,1.41344,0.65605,1.10597,0.88852,0.86537,0.90107,0.46647,1.62381,0.81935,1.20559,0.0013862,0.0013862,0.0013862
33,111.549,1.41053,0.66421,1.08161,0.90797,0.92286,0.95906,0.51762,1.621,0.74095,1.19095,0.0013664,0.0013664,0.0013664
34,114.956,1.42634,0.66655,1.10133,0.88734,0.87714,0.93378,0.49326,1.58274,0.77587,1.18102,0.0013466,0.0013466,0.0013466
35,118.311,1.39461,0.64223,1.08329,0.84716,0.88,0.88667,0.45776,1.59479,0.94705,1.16665,0.0013268,0.0013268,0.0013268
36,121.669,1.37123,0.64008,1.08787,0.85221,0.90616,0.9229,0.4823,1.62122,0.85427,1.18548,0.001307,0.001307,0.001307
37,125.038,1.37677,0.62611,1.08538,0.87066,0.88474,0.91603,0.48356,1.57526,0.82575,1.16639,0.0012872,0.0012872,0.0012872
